run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,scaling_factors
5,0.8,wt,0.9484043454279454,0.9510029079365432,0.9497027379141485,0.9497018491468845,0.9042211950725414,0.9484043454279454,1
5,0.8,wt2,0,0,0,0,0,0,0.44932896411722156
5,0.8,l,1,1,1,1,1,1,1
5,0.8,l2,0.9758294465463109,1,0.9878408002033076,0.9877668826649291,0.9758294465463109,0.9758294465463109,0.8187307530779818
5,0.8,fg,0.6216431831603895,0.9603553988195839,0.7726567071393812,0.7547394718145568,0.6060896131625891,0.6216431831603895,0.6703200460356393
5,0.8,fg2,0.9758294465463109,1,0.9878408002033076,0.9877668826649291,0.9758294465463109,0.9758294465463109,0.8187307530779818
5,0.8,eb,0,0,0,0,0,0,0.44932896411722156
5,0.8,eb2,0.3491200767766682,1,0.5908638394559852,0.5175522665273643,0.3491200767766682,0.3491200767766682,6.843271022217988e-9
5,0.8,im,0,0,0,0,0,0,0.44932896411722156
5,0.8,im2,0,0,0,0,0,0,0.44932896411722156
5,0.8,lp,0,0,0,0,0,0,0.44932896411722156
5,0.8,lp2,0.3480691206246853,1,0.5899738304574919,0.5163965486627163,0.3480691206246853,0.3480691206246853,5.602796437537268e-9
5,0.8,le,0.4186696525247967,0.6494700059865964,0.5214531443300404,0.5091345116997837,0.341502647754134,0.4186696525247967,0.6703200460356393
5,0.8,le2,0.7955961203507435,0.9148532453830107,0.853143418609679,0.851067219291549,0.7407458761571474,0.7955961203507435,0.6703200460356393
5,0.8,sl,0.9743378377388097,0.975208623534757,0.9747731334003292,0.9747730361638848,0.9507875529497919,0.9743378377388097,1
5,0.8,sl2,1,1,1,1,1,1,1
4,0.8,wt,0.6621606371668028,0.8225556983544396,0.7380135536205011,0.7336943661178805,0.5793975375980838,0.6621606371668028,0.8187307530779818
4,0.8,wt2,0,0,0,0,0,0,0.44932896411722156
4,0.8,l,0.700441636827833,0.8525884179198215,0.7727796755791474,0.7690622923395349,0.6247775882999181,0.700441636827833,0.8187307530779818
4,0.8,l2,0.8849858546802968,0.9363532314305805,0.9103072914133172,0.9099451838698464,0.8347701146812766,0.8849858546802968,0.6703200460356393
4,0.8,fg,0.3210363956708399,0.7762548190437829,0.4992054178671704,0.45422044009118984,0.29384554685015085,0.3210363956708399,0.5488116360940264
4,0.8,fg2,0.87282128903763,0.9486075666219198,0.9099257547128741,0.9091377645820623,0.8334120799715357,0.87282128903763,0.6703200460356393
4,0.8,eb,0,0,0,0,0,0,0.44932896411722156
4,0.8,eb2,0.345987620853205,1,0.5882071241095308,0.514102233174905,0.345987620853205,0.345987620853205,5.602796437537268e-9
4,0.8,im,0,0,0,0,0,0,0.44932896411722156
4,0.8,im2,0,0,0,0,0,0,0.44932896411722156
4,0.8,lp,0,0,0,0,0,0,0.44932896411722156
4,0.8,lp2,0,0,0,0,0,0,0.44932896411722156
4,0.8,le,0.5749864115073333,0.6767150158251758,0.6237803608342011,0.621716856857243,0.45108065055457763,0.5749864115073333,0.8187307530779818
4,0.8,le2,0.6332314692792557,0.8335911015083255,0.7265370726853724,0.719727291492124,0.5621671747818066,0.6332314692792557,0.30119421191220214
4,0.8,sl,0.7572979874543025,0.9060946187284975,0.8283620169987665,0.8250410981216734,0.7021871971885454,0.7572979874543025,0.8187307530779818
4,0.8,sl2,0.6791877812633581,0.8318170526403716,0.7516381964747667,0.7477937405934667,0.5971809635801324,0.6791877812633581,0.8187307530779818
