run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
5,0.1,wt,1,1,1,1,1,1,1
5,0.1,wt2,1,1,1,1,1,1,1
5,0.1,l,1,1,1,1,1,1,1
5,0.1,l2,1,1,1,1,1,1,1
5,0.1,fg,1,1,1,1,1,1,1
5,0.1,fg2,1,1,1,1,1,1,1
5,0.1,eb,0.3006611755885984,0.5121735483182738,0.3924164893869216,0.37889793979913433,0.23372861530518702,0.3006611755885984,2.4871914799725327e-5
5,0.1,eb2,0.3170244363285741,0.7521876436296973,0.4883255714531271,0.44605157050662897,0.2870439983983598,0.3170244363285741,2.636149234648298e-7
5,0.1,im,1,1,1,1,1,1,1
5,0.1,im2,1,1,1,1,1,1,1
5,0.1,lp,1,1,1,1,1,1,1
5,0.1,lp2,1,1,1,1,1,1,1
5,0.1,le,1,1,1,1,1,1,1
5,0.1,le2,1,1,1,1,1,1,1
5,0.1,sl,1,1,1,1,1,1,1
5,0.1,sl2,1,1,1,1,1,1,1
4,0.1,wt,1,1,1,1,1,1,1
4,0.1,wt2,1,1,1,1,1,1,1
4,0.1,l,1,1,1,1,1,1,1
4,0.1,l2,1,1,1,1,1,1,1
4,0.1,fg,1,1,1,1,1,1,1
4,0.1,fg2,1,1,1,1,1,1,1
4,0.1,eb,0.2906362016691669,0.38355102399920316,0.33387694254238026,0.3306909668925747,0.19810050765554907,0.2906362016691669,3.2370337848312847e-4
4,0.1,eb2,0.2906362016691669,0.38355102399920316,0.33387694254238026,0.3306909668925747,0.19810050765554907,0.2906362016691669,3.2370337848312847e-4
4,0.1,im,1,1,1,1,1,1,1
4,0.1,im2,1,1,1,1,1,1,1
4,0.1,lp,1,1,1,1,1,1,1
4,0.1,lp2,1,1,1,1,1,1,1
4,0.1,le,1,1,1,1,1,1,1
4,0.1,le2,1,1,1,1,1,1,1
4,0.1,sl,1,1,1,1,1,1,1
4,0.1,sl2,1,1,1,1,1,1,1
3,0.1,wt,1,1,1,1,1,1,1
3,0.1,wt2,1,1,1,1,1,1,1
3,0.1,l,1,1,1,1,1,1,1
3,0.1,l2,1,1,1,1,1,1,1
3,0.1,fg,1,1,1,1,1,1,1
3,0.1,fg2,1,1,1,1,1,1,1
3,0.1,eb,0.31886000279909044,0.6884774711975993,0.4685380757133589,0.43585776179294333,0.27865609095280103,0.31886000279909044,1.3132532068131381e-6
3,0.1,eb2,0.3126864666180291,0.6570898110973395,0.4532803671931262,0.4237329701790028,0.26882055017487894,0.3126864666180291,1.9212120509130433e-6
3,0.1,im,1,1,1,1,1,1,1
3,0.1,im2,1,1,1,1,1,1,1
3,0.1,lp,1,1,1,1,1,1,1
3,0.1,lp2,1,1,1,1,1,1,1
3,0.1,le,0.8916536757192264,1,0.9442741528386903,0.9427240167312448,0.8916536757192264,0.8916536757192264,0.5976933329559588
3,0.1,le2,0.8492036244628559,1,0.9215224492451912,0.9184533419996155,0.8492036244628559,0.8492036244628559,0.4660528305184371
3,0.1,sl,1,1,1,1,1,1,1
3,0.1,sl2,1,1,1,1,1,1,1
2,0.1,wt,1,1,1,1,1,1,1
2,0.1,wt2,1,1,1,1,1,1,1
2,0.1,l,1,1,1,1,1,1,1
2,0.1,l2,1,1,1,1,1,1,1
2,0.1,fg,1,1,1,1,1,1,1
2,0.1,fg2,1,1,1,1,1,1,1
2,0.1,eb,0.3067838570655243,0.5950459866087773,0.42725929235442145,0.4048446703858021,0.2537963939121322,0.3067838570655243,5.123812187985879e-6
2,0.1,eb2,0.3177690931481582,0.7498625651851673,0.4881425481605166,0.44637707296283236,0.28731364940275084,0.3177690931481582,7.182628258724839e-7
2,0.1,im,1,1,1,1,1,1,1
2,0.1,im2,1,1,1,1,1,1,1
2,0.1,lp,1,1,1,1,1,1,1
2,0.1,lp2,1,1,1,1,1,1,1
2,0.1,le,1,1,1,1,1,1,1
2,0.1,le2,1,1,1,1,1,1,1
2,0.1,sl,0.9750425282583413,1,0.9874424176924653,0.9873635775510783,0.9750425282583413,0.9750425282583413,0.7982973034440111
2,0.1,sl2,1,1,1,1,1,1,1
1,0.1,wt,1,1,1,1,1,1,1
1,0.1,wt2,1,1,1,1,1,1,1
1,0.1,l,1,1,1,1,1,1,1
1,0.1,l2,1,1,1,1,1,1,1
1,0.1,fg,1,1,1,1,1,1,1
1,0.1,fg2,1,1,1,1,1,1,1
1,0.1,eb,0.23888473440467364,0.3040776264362802,0.2695171664841302,0.2675673610860556,0.15444604025342804,0.23888473440467364,0.005344035893287667
1,0.1,eb2,0.3483955229368453,1,0.5902503900353182,0.5167556803778606,0.3483955229368453,0.3483955229368453,1.9519891947644903e-9
1,0.1,im,1,1,1,1,1,1,1
1,0.1,im2,1,1,1,1,1,1,1
1,0.1,lp,1,1,1,1,1,1,1
1,0.1,lp2,0.5698022964392573,1,0.75485249979003,0.7259542144023173,0.5698022964392573,0.5698022964392573,0.38194990158037595
1,0.1,le,0.9593684737874324,1,0.9794735697237739,0.9792629478548119,0.9593684737874324,0.9593684737874324,0.7854644730232586
1,0.1,le2,1,1,1,1,1,1,1
1,0.1,sl,1,1,1,1,1,1,1
1,0.1,sl2,1,1,1,1,1,1,1
